Age,Gender,Marital,Race_Status,Birth_Place,Language,Occupation,Income_(K)
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",605
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",741
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",626
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",626
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",913
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",421
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",620
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",633
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",613
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",623
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",896
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",422
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",613
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",651
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",913
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",653
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",733
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",845
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",762
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",1
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",421
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",623
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",620
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",962
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",43
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",620
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",624
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",626
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",425
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",803
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",913
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",626
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",960
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",803
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",962
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",775
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",960
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",960
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",620
"[20, 40[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",822
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",425
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",495
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",21
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",613
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",623
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",155
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",472
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",960
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",660
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",52
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",626
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",734
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",632
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",913
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",960
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",622
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",653
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",775
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",814
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",720
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",962
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",724
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",731
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",52
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",651
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",420
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",623
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",931
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",620
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",871
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",720
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",613
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",605
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",862
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",913
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",22
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",720
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",952
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",684
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",626
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",605
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",605
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",470
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",720
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",963
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",21
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",425
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",803
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",624
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",775
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",623
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",425
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",626
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",624
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",726
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",913
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",620
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",421
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",770
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",495
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",422
"[40, 60[",1,1,"[1, 3[","[1, 65[","[1, 3[","[0, 4[",731
