Age,Gender,Marital,Race_Status,Birth_Place,Language,Occupation,Income_(K)
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[2, 5)",411
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[2, 5)",425
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[2, 5)",961
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[2, 5)",422
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[2, 5)",402
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[2, 5)",494
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[2, 5)",962
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[2, 5)",623
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[2, 5)",962
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[2, 5)",476
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[2, 5)",414
"[17, 18)","[1, 2)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[2, 5)",962
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 4)",425
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 4)",992
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 4)",472
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 4)",364
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 4)",540
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 4)",992
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 4)",472
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 4)",415
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[4, 5)",460
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[4, 5)",476
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[4, 5)",415
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[4, 5)",422
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[4, 5)",260
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[4, 5)",460
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[4, 5)",411
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[3, 4)",415
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[3, 4)",472
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[3, 4)",605
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[3, 4)",452
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[3, 4)",402
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[3, 4)",476
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[3, 4)",460
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[3, 4)",962
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",460
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",964
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",413
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",476
"[16, 17)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",403
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",415
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",403
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",472
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",472
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",472
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",476
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",443
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",406
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",472
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",472
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",460
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",422
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[1, 2)","[1, 2)","[3, 5)",402
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",282
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",472
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",485
"[17, 18)","[2, 3)","[6, 7)","[1, 2)","[2, 3)","[1, 2)","[4, 5)",406
